B365Player1,B365Player2,Best of,Date,Player1Pts,Player1Rank,Player1,Player1Sets,Round,Series,Surface,Player2Pts,Player2Rank,Player2,Player2Sets,Winner
1.28,3.5,3,2014-02-18,1580,21,Anderson K.,0,1st Round,ATP250,Hard,537,105,Smyczek T.,0,Anderson K.
2.1,1.66,3,2014-02-18,669,77,Vesely J.,0,1st Round,ATP250,Hard,345,155,Baghdatis M.,0,Baghdatis M.
1.72,2.0,3,2014-02-18,683,75,Sela D.,0,1st Round,ATP250,Hard,618,88,Bogomolov A.,0,Sela D.
1.6949999999999998,2.1633333333333336,3,2014-02-18,741,62,Ebden M.,0,1st Round,ATP250,Hard,731,65,Gabashvili T.,0,Gabashvili T.
1.57,2.25,3,2014-02-18,390,142,Johnson S.,0,1st Round,ATP250,Hard,781,58,Kukushkin M.,0,Johnson S.
1.83,1.83,3,2014-02-18,532,106,Goffin D.,0,1st Round,ATP250,Hard,844,55,Matosevic M.,0,Matosevic M.
1.66,2.1,3,2014-02-18,1045,38,Hewitt L.,0,1st Round,ATP250,Hard,731,66,Klahn B.,0,Hewitt L.
3.75,1.25,3,2014-02-18,477,118,Odesnik W.,0,1st Round,ATP250,Hard,2435,12,Haas T.,0,Haas T.
1.4,2.75,3,2014-02-18,817,56,Karlovic I.,0,1st Round,ATP250,Hard,330,160,Groth S.,0,Karlovic I.
10.0,01.06,3,2014-02-18,302,169,Elias G.,0,1st Round,ATP250,Hard,2170,15,Nishikori K.,0,Nishikori K.
1.22,4.0,3,2014-02-19,2320,13,Isner J.,0,1st Round,ATP250,Hard,631,85,Russell M.,0,Isner J.
4.0,1.22,3,2014-02-19,605,93,Becker B.,0,1st Round,ATP250,Hard,1295,29,Cilic M.,0,Cilic M.
1.33,3.25,3,2014-02-19,1355,27,Lopez F.,0,2nd Round,ATP250,Hard,714,70,Mannarino A.,0,Lopez F.
1.28,3.5,3,2014-02-19,2435,12,Haas T.,0,2nd Round,ATP250,Hard,390,142,Johnson S.,0,Johnson S.
1.14,5.5,3,2014-02-20,1295,29,Cilic M.,0,2nd Round,ATP250,Hard,484,115,Harrison R.,0,Cilic M.
3.5,1.28,3,2014-02-20,683,75,Sela D.,0,2nd Round,ATP250,Hard,2320,13,Isner J.,0,Isner J.
2.2,1.61,3,2014-02-21,374,146,Williams R.,0,2nd Round,ATP250,Hard,345,155,Baghdatis M.,0,Williams R.
2.62,1.5,3,2014-02-21,844,55,Matosevic M.,0,Quarterfinals,ATP250,Hard,1580,21,Anderson K.,0,Anderson K.
2.5,1.53,3,2014-02-21,390,142,Johnson S.,0,Quarterfinals,ATP250,Hard,1355,27,Lopez F.,0,Johnson S.
8.0,01.08,3,2014-02-21,731,65,Gabashvili T.,0,Quarterfinals,ATP250,Hard,1295,29,Cilic M.,0,Cilic M.
1.28,3.75,3,2014-02-22,2320,13,Isner J.,0,Quarterfinals,ATP250,Hard,374,146,Williams R.,0,Isner J.
